id,category,difficulty,like
syZHOHCIYIBhfyk0uKJc,Culture,hard,0
t87tWD7aXqF5Jy2niNWm,Culture,easy,0
tgaL3GeGOxnGKC117EEF,Geography,easy,0
u7zGNB6cEFyUQUEw7f4t,Culture,medium,0
uDyo1Dhv5qoGpcF1IKoB,History,hard,0
uGO6CobxUbUiFm6k27Nc,Culture,easy,0
uxkGwOOZQJXBPf7RKiI4,History,easy,0
uz9P4VnPDyI16hpy6MMk,History,easy,0
v39hT1GLI9qdsk7p9bKj,Art,easy,0
vTHO8ExBk6eHmL0vSfAv,Geography,hard,0
vUDwWYyYniLBnOHkzUuy,Science,hard,0
wH9XvzijktfVA0Q37Nl1,Biology,medium,0
wN2f65WPWuRQlawtKKiw,Science,hard,0
xTwB8FoE3Fve3Jw8StRd,Culture,medium,0
xVUOPS3W338jYmXYpJyJ,Travel,hard,0
xadS0OGhDMN61PmuNqPs,Travel,hard,0
xdlE3JMY8dD5tEfI1fxe,Biology,medium,0
ymuKjnAOJaW6X1iujaLr,Science,hard,0
zTnOk2aqitk7kIJAwHLz,Travel,medium,0
zmkDDloJaft8qHYZVLf3,Art,medium,0
zqJe3PHINC2L4LO8oFvb,Geography,easy,0
zw4NJZGpDMyqgJN39Yys,History,medium,0
zwOuxlfQAlTVzIlPEePL,Science,easy,0
